event_id,data_id,sta,ptime,stime,pol
J2016041507465204,D20160415000600,N.TYNH,2016-04-15T07:46:54.740000Z,2016-04-15T07:46:56.650000Z,U
J2016041507465204,D20160415000600,KU.KMP,2016-04-15T07:46:55.820000Z,2016-04-15T07:46:58.470000Z,U
J2016041507465204,D20160415000600,KUIZU3,2016-04-15T07:46:56.080000Z,2016-04-15T07:46:59.080000Z,U
J2016041507465204,D20160415000600,KUIZU3,2016-04-15T07:46:56.080000Z,,K
J2016041507465204,D20160415000600,N.YABH,2016-04-15T07:46:56.410000Z,2016-04-15T07:46:59.620000Z,U
J2016041507465204,D20160415000600,N.MSMH,2016-04-15T07:46:56.590000Z,2016-04-15T07:47:00.350000Z,D
J2016041507465204,D20160415000600,N.IZMH,2016-04-15T07:46:57.490000Z,2016-04-15T07:47:01.170000Z,U
J2016041507465204,D20160415000600,N.HKSH,2016-04-15T07:46:57.470000Z,2016-04-15T07:47:01.360000Z,D
J2016041507465204,D20160415000600,N.KKCH,2016-04-15T07:46:57.660000Z,2016-04-15T07:47:01.490000Z,U
J2016041507465204,D20160415000600,V.ASO2,2016-04-15T07:46:57.780000Z,,K
J2016041507465204,D20160415000600,N.ASVH,2016-04-15T07:46:57.940000Z,2016-04-15T07:47:02.420000Z,D
J2016041507465204,D20160415000600,N.TMNH,2016-04-15T07:46:58.710000Z,2016-04-15T07:47:03.290000Z,U
J2016041507465204,D20160415000600,TAMANA,2016-04-15T07:46:58.650000Z,2016-04-15T07:47:03.180000Z,U
J2016041507465204,D20160415000600,TAMANA,2016-04-15T07:46:58.650000Z,,K
J2016041507465204,D20160415000600,KU.ITK,2016-04-15T07:46:58.830000Z,2016-04-15T07:47:03.360000Z,U
J2016041507465204,D20160415000600,N.SBAH,2016-04-15T07:46:59.320000Z,2016-04-15T07:47:04.160000Z,U
J2016041507465204,D20160415000600,N.GKSH,2016-04-15T07:46:59.270000Z,2016-04-15T07:47:04.680000Z,D
J2016041507465204,D20160415000600,N.KHKH,2016-04-15T07:46:59.830000Z,2016-04-15T07:47:05.040000Z,U
J2016041507465204,D20160415000600,NAKATS,2016-04-15T07:47:00.030000Z,2016-04-15T07:47:05.540000Z,U
J2016041507465204,D20160415000600,NAKATS,2016-04-15T07:47:00.030000Z,,K
J2016041507465204,D20160415000600,KU.TAI,2016-04-15T07:47:00.170000Z,2016-04-15T07:47:05.560000Z,U
J2016041507465204,D20160415000600,N.NMNH,2016-04-15T07:47:00.160000Z,,D
J2016041507465204,D20160415000600,KU.OMT,2016-04-15T07:47:00.600000Z,2016-04-15T07:47:06.430000Z,U
J2016041507465204,D20160415000600,N.OGNH,2016-04-15T07:47:01.130000Z,2016-04-15T07:47:07.210000Z,D
J2016041507465204,D20160415000600,KU.TKD,2016-04-15T07:47:01.680000Z,2016-04-15T07:47:08.650000Z,D
J2016041507465204,D20160415000600,KU.SMT,2016-04-15T07:47:01.380000Z,2016-04-15T07:47:08.370000Z,D
J2016041507465204,D20160415000600,N.UKHH,2016-04-15T07:47:02.960000Z,2016-04-15T07:47:10.470000Z,U
J2016041507465204,D20160415000600,KITAKA,2016-04-15T07:47:02.930000Z,,K
J2016041507465204,D20160415000600,N.TKKH,2016-04-15T07:47:02.970000Z,2016-04-15T07:47:11.460000Z,D
J2016041507465204,D20160415000600,OKUCHI,2016-04-15T07:47:03.840000Z,,K
J2016041507465204,D20160415000600,N.SNIH,2016-04-15T07:47:03.850000Z,,D
J2016041507465204,D20160415000600,HONDO,2016-04-15T07:47:03.930000Z,,K
J2016041507465204,D20160415000600,N.NRAH,2016-04-15T07:47:04.510000Z,2016-04-15T07:47:13.420000Z,U
J2016041507465204,D20160415000600,N.UMWH,2016-04-15T07:47:04.030000Z,2016-04-15T07:47:12.880000Z,D
J2016041507465204,D20160415000600,N.HSFH,2016-04-15T07:47:05.570000Z,2016-04-15T07:47:15.250000Z,U
J2016041507465204,D20160415000600,KU.STO,2016-04-15T07:47:06.810000Z,2016-04-15T07:47:16.480000Z,U
J2016041507465204,D20160415000600,N.NTHH,2016-04-15T07:47:06.180000Z,,D
J2016041507465204,D20160415000600,HICHIY,2016-04-15T07:47:06.640000Z,,K
J2016041507465204,D20160415000600,TSUNO,2016-04-15T07:47:06.640000Z,,K
J2016041507465204,D20160415000600,ITAYA,2016-04-15T07:47:06.930000Z,,K
J2016041507465204,D20160415000600,N.NGSH,2016-04-15T07:47:06.670000Z,2016-04-15T07:47:17.990000Z,D
J2016041507465204,D20160415000600,BEPPUA,2016-04-15T07:47:07.140000Z,,K
J2016041507465204,D20160415000600,URESHI,2016-04-15T07:47:07.340000Z,,K
