net,sta,chan,lat,lon,elv
,AGUNI,U,26.5927,127.2403,12.0
,AIDA,U,34.9435,134.1653,170.0
,AIOI,U,33.7957,134.4488,165.0
,AKAIKE,U,33.7153,130.7928,130.0
,AMAMI,U,28.4152,129.603,15.0
,AMAMIN,U,28.2429,129.1754,10.0
,AOGASM,U,32.4637,139.7638,336.0
,AOHIGA,U,41.2653,141.3374,50.0
,ASHIKA,U,36.4285,139.4508,241.0
,ATSUMA,U,42.6226,141.9204,12.0
,ATSUMI,U,34.6348,137.1398,30.0
,AWASHI,U,38.459,139.2453,70.0
,BEPPUA,U,33.3363,131.4072,434.0
,BIRAT2,U,42.7808,142.3598,170.0
,CHIJI3,U,27.0957,142.1845,145.0
,EDANAR,U,40.2056,141.7098,74.0
,EIGENJ,U,35.1385,136.3877,433.0
,ENIWA,U,42.8427,141.4462,185.0
,ERIMO,U,42.0185,143.1535,40.0
,FJNAKA,U,35.194,138.6851,167.0
,FOSAKI,U,38.6022,140.9112,29.0
,FUKUE2,U,32.6588,128.7473,120.0
,FURANO,U,43.166,142.5897,360.0
,FURUDN,U,37.0909,140.5611,354.0
,GOTSU2,U,35.0635,132.507,150.0
,HACHJ3,U,33.1153,139.8138,70.0
,HACHJK,U,33.0723,139.7976,170.0
,HAKUI,U,36.9272,136.7793,35.0
,HANNOU,U,35.8555,139.279,245.0
,HATERS,U,24.0608,123.8035,15.0
,HATUMA,U,34.9588,139.0087,230.0
,HEGURA,U,37.8505,136.9173,12.0
,HEGURI,U,34.6568,135.6822,260.0
,HICHIY,U,32.4431,131.6368,53.0
,HIKIMI,U,34.5345,131.9267,350.0
,HINAI,U,40.1913,140.6323,140.0
,HIROMI,U,33.217,132.622,450.0
,HITACH,U,36.614,140.5653,215.0
,HOKURY,U,43.7453,141.721,195.0
,HONDO,U,32.4683,130.1345,70.0
,HYAKUZ,U,40.6519,140.359,220.0
,ICHIAK,U,35.302,136.8431,10.0
,ICHINM,U,38.9547,141.2163,70.0
,IHEYA,U,27.0387,127.9653,25.0
,IKEMAJ,U,24.9236,125.2476,11.0
,IKI,U,33.7988,129.7297,70.0
,IKUMA,U,35.499,133.027,20.0
,IRABU,U,24.8282,125.1729,19.0
,IRIOMF,U,24.339,123.7285,5.0
,ISE,U,34.3945,136.7035,135.0
,ISHIG2,U,24.369,124.1432,78.0
,ISHIGH,U,24.5869,124.3107,13.0
,ITAHOR,U,35.9659,140.5259,11.0
,ITAYA,U,33.4305,130.386,660.0
,IWAKMZ,U,37.1048,140.7983,650.0
,IWASAK,U,40.5955,140.0035,330.0
,IYASAT,U,36.2308,140.1907,31.0
,IZUMOZ,U,37.5347,138.7063,40.0
,IZUSIM,U,34.7212,138.875,135.0
,JOUGE,U,34.6443,133.1517,470.0
,KAGA,U,36.2808,136.3282,25.0
,KASAI,U,34.9858,134.8415,150.0
,KASUMI,U,35.5907,134.661,85.0
,KATADA,U,34.713,136.4165,30.0
,KATASH,U,36.7698,139.2457,933.0
,KAWAUC,U,37.3695,140.8712,520.0
,KAYABE,U,41.8902,141.0288,10.0
,KHARUN,U,33.5101,133.4988,26.0
,KIKAIJ,U,28.3183,129.9698,130.0
,KIRAGA,U,33.3897,134.1405,200.0
,KITAKA,U,32.6278,131.4512,180.0
,KOBUCH,U,38.3107,141.4655,58.0
,KOSHIK,U,31.6815,129.7137,240.0
,KOUYA,U,34.2223,135.5897,795.0
,KOZUSH,U,34.19,139.1338,138.0
,KU.KMP,U,32.8198,130.6227,150.0
,KU.OMT,U,33.0672,130.4537,10.0
,KUBOKA,U,33.3128,133.0608,340.0
,KUCHIE,U,30.4657,130.1935,20.0
,KUDAMA,U,34.0573,131.8713,220.0
,KUMEJ2,U,26.3298,126.7842,71.0
,KUNI,U,36.5652,138.6365,645.0
,KUNIGA,U,26.836,128.2725,220.0
,KUNIMI,U,33.6357,131.5665,120.0
,KURAHA,U,34.1428,132.5268,60.0
,KURAYO,U,35.3815,133.8172,174.0
,KUROKA,U,35.604,137.3542,580.0
,KUROMA,U,35.0692,138.207,710.0
,KUROSH,U,24.2417,124.0077,9.0
,KUZUMA,U,39.9873,141.3263,620.0
,MARUMO,U,37.869,140.7897,100.0
,MIHAMA,U,35.5317,135.981,161.0
,MIKI,U,34.8102,135.051,160.0
,MIMANA,U,34.0433,134.1516,220.0
,MINABE,U,33.8525,135.3518,170.0
,MITANE,U,30.3974,130.9004,186.0
,MIYKNA,U,39.5767,141.8197,200.0
,MIYOSH,U,35.035,139.887,40.0
,MONOBE,U,33.7315,133.8763,550.0
,MOTOYO,U,38.8108,141.4738,67.0
,N.ASKH,U,32.2918,130.5777,-201.0
,N.ASVH,U,32.9514,131.0199,347.0
,N.BZNH,U,33.5925,131.1348,-269.0
,N.GKSH,U,32.6536,131.2257,501.0
,N.HKSH,U,32.8114,131.101,380.0
