20160415074652.0432N43.80130E47.8210.52                                                  0.00 0.00                                         4.40       D20160415000600
S001 HI  HHZ I U
S002 HI  HHZ I D
S003 HI  HHZ I D
S004 HI  HHZ I U
S005 HI  HHZ I U
S006 HI  HHZ I D
S007 HI  HHZ I U
S008 HI  HHZ I U
S009 HI  HHZ I D
S011 HI  HHZ I U
S012 HI  HHZ I U
S013 HI  HHZ I D
S014 HI  HHZ I D
S015 HI  HHZ I D
S016 HI  HHZ I U
S017 HI  HHZ I D
S018 HI  HHZ I D
S019 HI  HHZ I D
S020 HI  HHZ I U
S021 HI  HHZ I D
S022 HI  HHZ I D
S023 HI  HHZ I U
S024 HI  HHZ I U
S025 HI  HHZ I U
S026 HI  HHZ I U
S028 HI  HHZ I D
S029 HI  HHZ I D
S030 HI  HHZ I D
S031 HI  HHZ I D
S032 HI  HHZ I U
S033 HI  HHZ I D
S034 HI  HHZ I D
S035 HI  HHZ I U
S036 HI  HHZ I U
S037 HI  HHZ I D
S039 HI  HHZ I D
S040 HI  HHZ I U
S041 HI  HHZ I U
S042 HI  HHZ I U
S043 HI  HHZ I U
S044 HI  HHZ I D
S045 HI  HHZ I D
S046 HI  HHZ I U
S047 HI  HHZ I U
S048 HI  HHZ I U
S050 HI  HHZ I U
S051 HI  HHZ I D
S052 HI  HHZ I D
S053 HI  HHZ I U
S054 HI  HHZ I U
S055 HI  HHZ I U
S056 HI  HHZ I U
S057 HI  HHZ I U
S058 HI  HHZ I U
S059 HI  HHZ I U
S061 HI  HHZ I U
                                                                  D20160415000600
20160420160130.2832N50.26130E47.9615.23                                                  0.00 0.00                                         4.00       D20160420001172
S002 HI  HHZ I U
S006 HI  HHZ I U
S007 HI  HHZ I U
S008 HI  HHZ I U
S009 HI  HHZ I U
S011 HI  HHZ I D
S012 HI  HHZ I U
S019 HI  HHZ I U
S020 HI  HHZ I U
S021 HI  HHZ I U
S022 HI  HHZ I D
S023 HI  HHZ I U
S025 HI  HHZ I U
S026 HI  HHZ I U
S027 HI  HHZ I D
S028 HI  HHZ I U
S029 HI  HHZ I U
S030 HI  HHZ I D
S031 HI  HHZ I U
S032 HI  HHZ I U
S033 HI  HHZ I U
S034 HI  HHZ I U
S035 HI  HHZ I U
S036 HI  HHZ I U
S037 HI  HHZ I U
S038 HI  HHZ I U
S039 HI  HHZ I U
S040 HI  HHZ I U
S041 HI  HHZ I U
S042 HI  HHZ I U
S043 HI  HHZ I U
S044 HI  HHZ I U
S045 HI  HHZ I U
S047 HI  HHZ I U
S050 HI  HHZ I U
S052 HI  HHZ I U
S053 HI  HHZ I U
S054 HI  HHZ I U
S057 HI  HHZ I U
S059 HI  HHZ I U
S060 HI  HHZ I U
                                                                  D20160420001172
