event_id,data_id,sta,ptime,stime,pol,source,lat,lon,elv,ptime0,stime0,predict,prob,std
J2016041507465204,D20160415000600,AKAIKE,2016-04-15T07:47:11.000967Z,2016-04-15T07:47:24.770273Z,K,original,33.7153,130.7928,130.0,2016-04-15T07:47:10.540000Z,,U,0.9911,0.0224
J2016041507465204,D20160415000600,BEPPUA,2016-04-15T07:47:07.343610Z,2016-04-15T07:47:18.456997Z,K,original,33.3363,131.4072,434.0,2016-04-15T07:47:07.140000Z,,D,0.8159,0.129
J2016041507465204,D20160415000600,HICHIY,2016-04-15T07:47:06.778217Z,2016-04-15T07:47:17.481087Z,K,original,32.4431,131.6368,53.0,2016-04-15T07:47:06.640000Z,,D,1.0,0.0
J2016041507465204,D20160415000600,HIKIMI,2016-04-15T07:47:26.284081Z,2016-04-15T07:47:52.559933Z,K,original,34.5345,131.9267,350.0,2016-04-15T07:47:26.940000Z,,U,0.9915,0.0226
J2016041507465204,D20160415000600,HIROMI,2016-04-15T07:47:20.393597Z,2016-04-15T07:47:41.965419Z,K,original,33.217,132.622,450.0,2016-04-15T07:47:20.740000Z,,U,1.0,0.0
J2016041507465204,D20160415000600,HONDO,2016-04-15T07:47:03.986764Z,2016-04-15T07:47:12.662303Z,K,original,32.4683,130.1345,70.0,2016-04-15T07:47:03.930000Z,,D,1.0,0.0
J2016041507465204,D20160415000600,IKI,2016-04-15T07:47:17.447198Z,2016-04-15T07:47:36.665963Z,K,original,33.7988,129.7297,70.0,2016-04-15T07:47:17.330000Z,,U,1.0,0.0
J2016041507465204,D20160415000600,ITAYA,2016-04-15T07:47:07.101968Z,2016-04-15T07:47:18.039899Z,K,original,33.4305,130.386,660.0,2016-04-15T07:47:06.930000Z,,U,1.0,0.0
J2016041507465204,D20160415000600,KITAKA,2016-04-15T07:47:02.920481Z,2016-04-15T07:47:10.821650Z,K,original,32.6278,131.4512,180.0,2016-04-15T07:47:02.930000Z,,D,1.0,0.0
J2016041507465204,D20160415000600,KOSHIK,2016-04-15T07:47:17.451162Z,2016-04-15T07:47:36.673093Z,K,original,31.6815,129.7137,240.0,2016-04-15T07:47:17.330000Z,,D,0.5683,0.2254
