pick,net,sta,chan,ptime,stime
2024T000000013,KS,GIJA,HG,2024-06-11T23:26:53.595446Z,2024-06-11T23:26:56.205087Z
2024T000000013,KS,JEU2,EL,2024-06-11T23:26:55.221369Z,
2024T000000013,KS,MND,HH,,2024-06-11T23:26:58.938927Z
2024T000000013,KS,MSMB,HH,2024-06-11T23:26:52.932921Z,2024-06-11T23:26:55.043948Z
2024T000000013,KS,SENA,HG,2024-06-11T23:26:53.338576Z,2024-06-11T23:26:55.790000Z
2024T000000013,KS,SMWA,HG,2024-06-11T23:26:54.376208Z,2024-06-11T23:26:57.504626Z
2024T000000056,KS,GIJA,HG,2024-06-12T04:55:46.714401Z,2024-06-12T04:55:49.246721Z
2024T000000056,KS,JEU2,EL,2024-06-12T04:55:48.395369Z,
2024T000000056,KS,MND,HH,,2024-06-12T04:55:52.139442Z
2024T000000056,KS,MSMB,HH,2024-06-12T04:55:46.114629Z,2024-06-12T04:55:48.176712Z
2024T000000056,KS,SENA,HG,2024-06-12T04:55:46.529380Z,2024-06-12T04:55:48.889090Z
2024T000000056,KS,SMWA,HG,2024-06-12T04:55:47.588354Z,2024-06-12T04:55:50.677105Z
2024T000000056,KS,TAIA,HG,2024-06-12T04:55:46.791170Z,2024-06-12T04:55:49.369154Z
