net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,ADOA,2015-09-30,,36.5726,128.7009,162.0,q330hrs,,ES-DH-A,HG
KS,AGSA,2018-03-09,,37.0917,127.808,114.0,q330sp,,ES-DH-A,HG
KS,AMD,2015-09-30,,35.3436,126.03,79.0,q330hrs,STS-2.5-A,ES-T-A,HH
KS,ANDB,2022-11-29,,33.25658,126.32875,84.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,ANHA,2022-11-29,,37.464696,128.155024,540.0,Centaur,,Titan-PH-A,HG
KS,ANMA,2016-12-16,,36.5386,126.33,89.0,q330sp,,ES-DH-A,HG
KS,ASNA,2019-03-18,,36.8277,127.0123,96.0,q330sp,,ES-DH-A,HG
KS,BAR2,2016-12-16,,37.9771,124.7142,88.3,q330hrs,STS-2.5-A,ES-T-A,HH
KS,BAU,2016-05-31,,35.1027,127.5968,560.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,BGDB,2016-05-31,,34.7726,125.9469,52.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,BKWA,2019-03-18,,37.1681,127.9875,294.0,q330sp,,ES-DH-A,HG
KS,BLGA,2018-03-09,,36.1392,127.3032,308.0,q330sp,,ES-DH-A,HG
KS,BLLA,2018-03-09,,34.8646,127.4638,49.0,q330sp,,ES-DH-A,HG
KS,BOGA,2019-03-18,,37.0131,127.3294,105.0,q330sp,,ES-DH-A,HG
KS,BOHB,2022-11-29,,36.926326,129.053685,342.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,BON2,2018-03-09,,36.5482,127.7981,367.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,BSAA,2019-03-18,,35.0661,129.0741,190.0,q330sp,,ES-DH-A,HG
KS,BURB,2016-05-31,,37.2317,127.7486,86.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,BUS3,2020-03-18,,35.2486,129.1124,119.4,q330hrs,STS-2.5-A,ES-T-A,HH
KS,BUSA,2018-03-09,,36.9791,128.6611,357.0,q330sp,,ES-DH-A,HG
KS,BUYB,2015-09-30,,36.2726,126.9206,57.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,CDSA,2021-11-05,,35.704465,128.444361,82.0,Centaur,,Titan-PH-A,HG
KS,CE2A,2020-12-24,,36.6268,127.5135,134.0,q330hrs,,ES-DH-A,HG
KS,CEA2,2018-03-09,,36.8231,127.2574,228.0,q330hrs,CMG-40T-1-A,ES-T-A,EL
