20240611232649.8335N41.93126E43.3310.20                                                  0.00 0.00                                         4.80        2024T000000013
ADOA KS   HG I U
AMD  KS   HH I D
ANHA KS   HG I D
ASNA KS   HG I U
BAR2 KS   HH I U
BAU  KS   EL I U
BGDB KS   HH I U
BLGA KS   HG I D
BLLA KS   HG I U
BOGA KS   HG I U
BON2 KS   EL I D
BSAA KS   HG I U
BUS3 KS   HH I D
BUSA KS   HG I U
BUYB KS   HH I U
CDSA KS   HG I U
CEA2 KS   EL I U
CGDA KS   HG I D
CGWB KS   HH I D
CGYA KS   HG I U
CHJ3 KS   HH I D
CHOA KS   HG I D
CHRB KS   HH I D
CHYB KS   HH I U
CIGB KS   HH I D
CJD  KS   HH I U
CJDB KS   HH I U
CSDB KS   HH I U
CWO2 KS   EL I U
DAGA KS   HG I D
DAYA KS   HG I U
DEI2 KS   HH I U
DGHA KS   HG I D
DGJA KS   HG I U
DUSB KS   HH I D
EURB KS   HH I D
GACA KS   HG I D
GBI2 KS   HH I U
GDDB KS   HH I D
GEJB KS   HH I U
GGDA KS   HG I D
GGDB KS   HH I U
GGGA KS   HG I D
GH2B KS   HH I U
GICA KS   HG I D
GIGA KS   HG I D
GIJA KS   HG I D
GKSA KS   HG I U
GLSA KS   HG I U
GMDB KS   HH I U
GMHB KS   HH I D
GMPB KS   HH I D
GOCB KS   HH I U
GSGA KS   HG I D
GSNA KS   HG I D
GUMA KS   HG I D
GUWB KS   HH I D
GWLA KS   HG I D
HA2B KS   HH I U
HAIA KS   HG I D
HAMB KS   HH I D
HAWA KS   HG I U
HAWB KS   HH I U
HGDB KS   HH I D
HMPA KS   HG I U
HSJB KS   HH I U
IJAA KS   HG I U
IJBA KS   HG I U
IJDB KS   HH I D
IKSB KS   HH I D
IMSB KS   HH I D
IPTA KS   HG I D
IYIB KS   HH I D
JAEA KS   HG I U
JAEB KS   HH I U
JAGA KS   HG I U
JAHA KS   HG I D
JASA KS   HG I D
JDGB KS   HH I D
JDO2 KS   EL I U
JEDA KS   HG I D
JEJB KS   HH I D
JESA KS   HG I D
JEU2 KS   EL I U
JHCB KS   HH I U
JLSA KS   HG I D
JMJ2 KS   EL I D
JNUA KS   HG I U
JNYA KS   HG I D
JODB KS   HH I U
JUCA KS   HG I D
JWJB KS   HH I D
KAWA KS   HG I U
KCH2 KS   EL I D
KESB KS   HH I U
KH2B KS   HH I U
KKDA KS   HG I U
KMSB KS   HH I D
KWJ2 KS   HH I U
KWJU KS   HH I U
LIWA KS   HG I D
MALA KS   HG I D
MANA KS   HG I U
MGY2 KS   EL I D
MJDB KS   HH I U
MMD  KS   HH I D
MND  KS   HH I D
MNDB KS   HH I U
MOPB KS   HH I U
MSMB KS   HH I D
NACA KS   HG I U
NAJA KS   HG I U
NAWB KS   HH I D
NGJA KS   HG I U
NHPA KS   HG I U
NJDA KS   HG I D
NLDA KS   HG I U
NOSA KS   HG I U
NSJA KS   HG I U
NYSA KS   HG I U
OGSB KS   HH I D
OJSA KS   HG I D
OOJB KS   HH I D
PGEA KS   HG I D
PMYA KS   HG I D
PORA KS   HG I U
PUYA KS   HG I D
PYSB KS   HH I D
SECA KS   HG I U
SEJA KS   HG I D
SENA KS   HG I U
SGMA KS   HG I U
SGNA KS   HG I D
SGP2 KS   HH I D
SH2B KS   HH I D
SIJA KS   HG I U
SKBA KS   HG I U
SKC2 KS   EL I D
SMWA KS   HG I D
SNGB KS   HH I U
SNNA KS   HG I U
SNWA KS   HG I U
SUCA KS   HG I U
TAIA KS   HG I D
TANB KS   HH I U
TBA2 KS   EL I U
TEJ2 KS   HG I D
TOHA KS   HG I U
UJBA KS   HG I D
UJNA KS   HG I U
UNCA KS   HG I U
USN2 KS   EL I D
WAJB KS   HH I D
WAN2 KS   EL I U
WICA KS   HG I D
YAGA KS   HG I U
YALB KS   HH I D
YAYA KS   HG I U
YCHB KS   HH I D
YDGA KS   HG I D
YEGA KS   HG I U
YEYB KS   HH I D
YGAA KS   HG I D
YGGA KS   HG I D
YJD3 KS   HG I U
YNDB KS   HH I U
YOA  KS   EL I U
YOCB KS   HH I D
YODB KS   HH I D
YUGA KS   HG I U
                                                                  2024T000000013
20240612045543.0435N42.04126E43.49 9.23                                                  0.00 0.00                                         3.10        2024T000000056
AMD  KS   HH I D
ANDB KS   HH I U
ANMA KS   HG I U
ASNA KS   HG I U
BAU  KS   EL I U
BLGA KS   HG I D
BOGA KS   HG I D
BON2 KS   EL I D
BURB KS   HH I U
BUYB KS   HH I U
CDSA KS   HG I D
CEA2 KS   EL I D
CEBA KS   HG I U
CGDA KS   HG I D
CGWB KS   HH I D
CHDA KS   HG I D
CHIA KS   HG I U
CHOA KS   HG I D
CHRB KS   HH I D
CHYB KS   HH I U
CJDB KS   HH I U
CSDB KS   HH I U
CWO2 KS   EL I U
DAYA KS   HG I U
DGHA KS   HG I D
EURB KS   HH I U
EUSB KS   HH I D
GACA KS   HG I D
GIJA KS   HG I D
GKSA KS   HG I U
GLCA KS   HG I D
GLSA KS   HG I D
GMHB KS   HH I U
GOBA KS   HG I D
GOCB KS   HH I D
GUMA KS   HG I D
HA2B KS   HH I U
HAMB KS   HH I D
HAWB KS   HH I D
HCNA KS   HG I D
HESA KS   HG I D
HGSA KS   HG I D
HMPA KS   HG I U
HOCA KS   HG I D
HTDA KS   HG I D
IJDB KS   HH I D
IKSA KS   HG I D
IKSB KS   HH I D
IMSB KS   HH I D
INCA KS   HG I D
INJA KS   HG I D
IPTA KS   HG I U
ISHB KS   HH I D
IYPA KS   HG I D
JAGA KS   HG I U
JASA KS   HG I D
JDGB KS   HH I D
JDO2 KS   EL I U
JEJB KS   HH I U
JEU2 KS   EL I U
JGNA KS   HG I U
JHCB KS   HH I U
JKJA KS   HG I U
JLSA KS   HG I D
JMJ2 KS   EL I U
JNPA KS   HG I D
JODB KS   HH I U
JOGB KS   HH I D
KCH2 KS   EL I D
KESB KS   HH I D
KKDA KS   HG I D
KMSB KS   HH I D
KWJ2 KS   HH I U
KWJU KS   HH I U
LIWA KS   HG I D
LMGA KS   HG I D
MALA KS   HG I D
MANA KS   HG I D
MGY2 KS   EL I D
MMD  KS   HH I D
MND  KS   HH I D
MNDB KS   HH I U
MOGA KS   HG I D
MSMB KS   HH I D
NACA KS   HG I U
NAHA KS   HG I U
NAJA KS   HG I U
NAMB KS   HH I U
NAWB KS   HH I D
NCNA KS   HG I D
NGJA KS   HG I U
NHPA KS   HG I U
NHSB KS   HH I U
NJDA KS   HG I D
NLDA KS   HG I U
NPGA KS   HG I D
NSJA KS   HG I U
OGSB KS   HH I D
OHBA KS   HG I U
OJSA KS   HG I U
OOJB KS   HH I U
OPHB KS   HH I U
OSBA KS   HG I U
OUJA KS   HG I D
PGEA KS   HG I D
PHDA KS   HG I D
PMYA KS   HG I D
PTYC KS   EL I U
PUAA KS   HG I U
PYCB KS   HH I U
SACA KS   HG I D
SAJB KS   HH I D
SECA KS   HG I U
SEJA KS   HG I D
SENA KS   HG I D
SEO3 KS   HH I U
SGP2 KS   HH I D
SIJA KS   HG I U
SKBA KS   HG I D
SKC2 KS   EL I D
SMWA KS   HG I D
SNWA KS   HG I U
SUBA KS   HG I D
SUCA KS   HG I U
SWO2 KS   EL I D
TAIA KS   HG I D
TANB KS   HH I U
TBA2 KS   EL I D
TEJ2 KS   HG I D
UDO  KS   HH I D
UNCA KS   HG I U
WAJB KS   HH I D
WAN2 KS   EL I U
WICA KS   HG I D
YALB KS   HH I D
YDGA KS   HG I U
YEGA KS   HG I D
YESA KS   HG I D
YEYB KS   HH I U
YGAA KS   HG I D
YKDB KS   HH I D
YNDB KS   HH I D
YOA  KS   EL I D
YSAB KS   HH I D
YUGA KS   HG I U
                                                                  2024T000000056
