pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std,sta0
2024T000000013,KS,ADOA,HG,2024-06-11T23:27:21.173953Z,2024-06-11T23:27:45.127986Z,add,36.5726,128.7009,162.0,,,U,0.9839,0.0187,ADOA
2024T000000013,KS,AMD,HH,2024-06-11T23:27:02.709708Z,2024-06-11T23:27:12.063004Z,add,35.3436,126.03,79.0,,,D,1.0,0.0,AMD
2024T000000013,KS,ANHA,HG,2024-06-11T23:27:25.111029Z,2024-06-11T23:27:52.209054Z,add,37.464696,128.155024,540.0,,,D,0.9989,0.003,ANHA
2024T000000013,KS,ASNA,HG,2024-06-11T23:27:11.819722Z,2024-06-11T23:27:27.863980Z,add,36.8277,127.0123,96.0,,,U,1.0,0.0,ASNA
2024T000000013,KS,BAR2,HH,2024-06-11T23:27:34.466795Z,2024-06-11T23:28:09.035033Z,add,37.9771,124.7142,88.3,,,U,0.9944,0.0132,BAR2
2024T000000013,KS,BAU,EL,2024-06-11T23:27:07.719064Z,2024-06-11T23:27:20.709910Z,add,35.1027,127.5968,560.0,,,U,1.0,0.0,BAU
2024T000000013,KS,BGDB,HH,2024-06-11T23:27:11.295872Z,2024-06-11T23:27:26.955974Z,add,34.7726,125.9469,52.0,,,U,1.0,0.0,BGDB
2024T000000013,KS,BLGA,HG,2024-06-11T23:27:02.298880Z,2024-06-11T23:27:11.353844Z,add,36.1392,127.3032,308.0,,,D,1.0,1e-04,BLGA
2024T000000013,KS,BLLA,HG,2024-06-11T23:27:09.653903Z,2024-06-11T23:27:24.049837Z,add,34.8646,127.4638,49.0,,,U,0.999,0.0019,BLLA
2024T000000013,KS,BOGA,HG,2024-06-11T23:27:15.411075Z,2024-06-11T23:27:34.762821Z,add,37.0131,127.3294,105.0,,,U,1.0,0.0,BOGA
2024T000000013,KS,BON2,EL,2024-06-11T23:27:12.837751Z,2024-06-11T23:27:29.706789Z,add,36.5482,127.7981,367.0,,,D,1.0,1e-04,BON2
2024T000000013,KS,BSAA,HG,2024-06-11T23:27:23.896237Z,2024-06-11T23:27:50.024198Z,add,35.0661,129.0741,190.0,,,U,1.0,0.0,BSAA
2024T000000013,KS,BUS3,HH,2024-06-11T23:27:23.603512Z,2024-06-11T23:27:49.497717Z,add,35.2486,129.1124,119.4,,,D,1.0,0.0,BUS3
2024T000000013,KS,BUSA,HG,2024-06-11T23:27:23.899140Z,2024-06-11T23:27:50.029418Z,add,36.9791,128.6611,357.0,,,U,0.9985,0.0019,BUSA
2024T000000013,KS,BUYB,HH,2024-06-11T23:27:01.376779Z,2024-06-11T23:27:09.761855Z,add,36.2726,126.9206,57.0,,,U,1.0,0.0,BUYB
2024T000000013,KS,CDSA,HG,2024-06-11T23:27:15.359935Z,2024-06-11T23:27:34.670839Z,add,35.704465,128.444361,82.0,,,U,0.9987,0.0024,CDSA
2024T000000013,KS,CEA2,EL,2024-06-11T23:27:12.687202Z,2024-06-11T23:27:29.383251Z,add,36.8231,127.2574,228.0,,,U,1.0,0.0,CEA2
2024T000000013,KS,CGDA,HG,2024-06-11T23:27:17.894525Z,2024-06-11T23:27:39.229612Z,add,35.6628,128.6703,141.0,,,D,0.9996,0.0018,CGDA
2024T000000013,KS,CGWB,HH,2024-06-11T23:27:18.093625Z,2024-06-11T23:27:39.587715Z,add,35.1702,128.5721,83.3,,,D,1.0,0.0,CGWB
2024T000000013,KS,CGYA,HG,2024-06-11T23:27:03.848528Z,2024-06-11T23:27:14.028654Z,add,36.4234767,126.7787833,0.141,,,U,1.0,0.0,CGYA
2024T000000013,KS,CHJ3,HH,2024-06-11T23:27:17.423062Z,2024-06-11T23:27:38.381630Z,add,36.873,127.9748,238.0,,,D,0.9997,0.0022,CHJ3
2024T000000013,KS,CHOA,HG,2024-06-11T23:26:56.768103Z,2024-06-11T23:27:01.806315Z,add,35.8408,127.117,107.0,,,D,1.0,0.0,CHOA
2024T000000013,KS,CHRB,HH,2024-06-11T23:27:15.885536Z,2024-06-11T23:27:35.616201Z,add,35.5342,128.4779,73.0,,,D,1.0,0.0,CHRB
2024T000000013,KS,CHYB,HH,2024-06-11T23:27:25.844835Z,2024-06-11T23:27:53.528827Z,add,36.9439,128.9144,366.0,,,U,0.9937,0.0098,CHYB
