pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std
2024T000000013,KS,ADOA,HG,2024-06-11T23:27:21.173953Z,2024-06-11T23:27:45.127986Z,add,36.5726,128.7009,162.0,,,U,0.9839,0.0187
2024T000000013,KS,AGSA,HG,2024-06-11T23:27:18.740363Z,2024-06-11T23:27:40.750944Z,add,37.0917,127.808,114.0,,,D,0.7096,0.2934
2024T000000013,KS,AMD,HH,2024-06-11T23:27:02.709708Z,2024-06-11T23:27:12.063004Z,add,35.3436,126.03,79.0,,,D,1.0,0.0
2024T000000013,KS,ANDB,HH,2024-06-11T23:27:30.010491Z,2024-06-11T23:28:01.020741Z,add,33.25658,126.32875,84.0,,,D,0.7647,0.084
2024T000000013,KS,ANHA,HG,2024-06-11T23:27:25.111029Z,2024-06-11T23:27:52.209054Z,add,37.464696,128.155024,540.0,,,D,0.9989,0.003
2024T000000013,KS,ANMA,HG,2024-06-11T23:27:07.111797Z,2024-06-11T23:27:19.661646Z,add,36.5386,126.33,89.0,,,D,0.5535,0.3235
2024T000000013,KS,ASNA,HG,2024-06-11T23:27:11.819722Z,2024-06-11T23:27:27.863980Z,add,36.8277,127.0123,96.0,,,U,1.0,0.0
2024T000000013,KS,BAR2,HH,2024-06-11T23:27:34.466795Z,2024-06-11T23:28:09.035033Z,add,37.9771,124.7142,88.3,,,U,0.9944,0.0132
2024T000000013,KS,BAU,EL,2024-06-11T23:27:07.719064Z,2024-06-11T23:27:20.709910Z,add,35.1027,127.5968,560.0,,,U,1.0,0.0
2024T000000013,KS,BGDB,HH,2024-06-11T23:27:11.295872Z,2024-06-11T23:27:26.955974Z,add,34.7726,125.9469,52.0,,,U,1.0,0.0
2024T000000013,KS,BKWA,HG,2024-06-11T23:27:20.708296Z,2024-06-11T23:27:44.290462Z,add,37.1681,127.9875,294.0,,,D,0.7742,0.239
2024T000000013,KS,BLGA,HG,2024-06-11T23:27:02.298880Z,2024-06-11T23:27:11.353844Z,add,36.1392,127.3032,308.0,,,D,1.0,1e-04
2024T000000013,KS,BLLA,HG,2024-06-11T23:27:09.653903Z,2024-06-11T23:27:24.049837Z,add,34.8646,127.4638,49.0,,,U,0.999,0.0019
2024T000000013,KS,BOGA,HG,2024-06-11T23:27:15.411075Z,2024-06-11T23:27:34.762821Z,add,37.0131,127.3294,105.0,,,U,1.0,0.0
2024T000000013,KS,BOHB,HH,2024-06-11T23:27:26.988492Z,2024-06-11T23:27:55.585715Z,add,36.926326,129.053685,342.0,,,U,0.8056,0.2036
2024T000000013,KS,BON2,EL,2024-06-11T23:27:12.837751Z,2024-06-11T23:27:29.706789Z,add,36.5482,127.7981,367.0,,,D,1.0,1e-04
